event_key,event_code,event_name,sport_key
1,APA,APA - APA/AFA,1
2,APA-EVENWI,Evenwicht/ Equilibre APA - APA/AFA,1
3,APA-HINDER,Hindernissenloop/Course d'obstacle  APA - APA/AFA,1
4,APA-KEGELV,Kegelvoetbal / Football de quilles APA - APA/AFA,1
5,APA-PA,PA Sprong/Saut,1
6,APA-PETANQ,Petanque APA - APA/AFA,1
7,APA-SPRINT,Sprint APA - APA/AFA,1
8,APA-UNIHOC,Unihockey APA - APA/AFA,1
9,PA00,PA00 - Adapted Physical Activities,1
10,PA01,PA01 - Unihocky Course,1
11,PA02,PA02 - Medicinball Toss,1
12,PA03,PA03 - Standing High Jump,1
13,PA06,PA06 - Petanque,1
14,PA09,PA09 - Endurance Run 6 minutes,1
15,PA11,PA11 - Initiation Football,1
16,PA13,PA13 - Initiation Basketball,1
17,AQ14,AQ14 - 25 M Brasse/Schoolslag,2
18,AQ15,AQ15 - 50 M Brasse/Schoolslag,2
19,AQ16,AQ16 - 100 M Brasse/Schoolslag,2
20,AQ24,AQ24 - 25 M Dos/Rugslag,2
21,AQ25,AQ25 - 50 M Dos/Rugslag,2
22,AQ34,AQ34 - 25 M Papillon/Vlinderslag,2
23,AQ35,AQ35 - 50 M Papillon/Vlinderslag,2
24,AQ44,AQ44 - 25 M Brasse Int./Int. Schoolslag,2
25,AQ45,AQ45 - 50 M Brasse Int./Int. Schoolslag,2
26,AQ46,AQ46 - 100 M Brasse Int./Int. Schoolslag,2
27,AQ55,AQ55 - 25 M Ventral/Borstligging,2
28,AQ56,AQ56 - 25 M Dorsal/Rugligging,2
29,AQ57,AQ57 - 50 M Ventral/Borstligging,2
30,AQ58,AQ58 - 50 M Dorsal/Rugligging,2
31,AQ65,AQ65 - 25 M Ventral Ass./Borstligging met Ass.,2
32,AQ66,AQ66 - 25 M Dorsal Ass./Rugligging met Ass.,2
33,AQ67,AQ67 - 50 M Ventral Ass./Borstligging met Ass.,2
34,AQ68,AQ68 - 50 M Dorsal Ass./Rugligging met Ass.,2
35,AQ75,AQ75 - 25 M Ventral Supp./Borstligging met Hulp,2
36,AQ76,AQ76 - 25 M Dorsal Supp./Rugligging met Hulp,2
37,AQ77,AQ77 - 50 M Ventral Supp./Borstligging met Hulp,2
38,AQ78,AQ78 - 50 M Dorsal Supp./Rugligging met Hulp,2
39,AQ91,AQ91 - 25 M Nage Libre/Vrije Slag,2
40,AQ92,AQ92 - 50 M Nage Libre/Vrije Slag,2
41,AQ93,AQ93 - 100 M Nage Libre/Vrije Slag,2
42,AQ94,AQ94 - 400 M Nage Libre/Vrije Slag,2
43,AQ95,AQ95 - 4X25 M Nage Libre/Vrije Slag,2
44,AQ97,AQ97 - 200 M Nage Libre/Vrije Slag,2
45,AQU-AQ,AQ 4X25 M Unified Freestyle Relay,2
46,SW14,SW14 - 33 M Breaststroke,2
47,SW15,SW15 - 66 M Breaststroke,2
48,SW16,SW16 - 99 M Breaststroke,2
49,SW24,SW24 - 33 M Backstroke,2
50,SW25,SW25 - 66 M Backstroke,2
51,SW35,SW35 - 66 M Butterfly,2
52,SW45,SW45 - 66 M International Breaststroke,2
53,SW55,SW55 - 33 M Unassisted Swim Front,2
54,SW56,SW56 - 33 M Unassisted Swim Back,2
55,SW57,SW57 - 66 M Unassisted Swim Front,2
56,SW65,SW65 - 33 M Assisted Swim Front,2
57,SW66,SW66 - 33 M Assisted Swim Back,2
58,SW67,SW67 - 66 M Assisted Swim Front,2
59,SW68,SW68 - 66 M Assisted Swim Back,2
60,SW75,SW75 - 33 M Flotation Race Front,2
61,SW76,SW76 - 33 M Flotation Race Back,2
62,SW77,SW77 - 66 M Flotation Race Front,2
63,SW78,SW78 - 66 M Flotation Race Back,2
64,SW91,SW91 - 33 M Freestyle,2
65,SW92,SW92 - 66 M Freestyle,2
66,SW93,SW93 - 99 M Freestyle,2
67,SW95,SW95 - 4X33 M Freestyle Relay,2
68,SW97,SW97 - 198 M Freestyle,2
69,AT10,AT10 - 400  M Course-Marche/Lopen-Wandelen,3
70,AT13,AT13 - 50  M Marche/Wandelen,3
71,AT14,AT14 - 50  M Course/Lopen,3
72,AT15,AT15 - 1500  M Course-Marche/Lopen-Wandelen,3
73,AT16,AT16 - Saut en longueur sans élan/Staande vertesprong,3
74,AT17,AT17 - Lancement de softball/Softbalwerpen,3
75,AT18,AT18 - 100  M Marche/Wandelen,3
76,AT19,AT19 - 400  M Marche/Wandelen,3
77,AT20,AT20 - 100  M Course/Lopen,3
78,AT21,AT21 - 200  M Course/Lopen,3
79,AT22,AT22 - 400  M Course/Lopen,3
80,AT23,AT23 - 4X100 M Relais/Aflossing,3
81,AT24,AT24 - 800  M Course/Lopen,3
82,AT25,AT25 - Saut en longueur/Verspringen,3
83,AT26,AT26 - Saut en longueur Int/Verspringen Int,3
84,AT27,AT27 - Saut en hauteur/Hoogspringen,3
85,AT28,AT28 - Lancer du poids 4 Kg/Kogelstoten 4 Kg,3
86,AT29,AT29 - Lancer du poids 3 Kg/Kogelstoten 3 Kg,3
87,AT30,AT30 - 4X200 M Relais/Aflossing,3
88,AT31,AT31 - 1500  M Course/Lopen,3
89,AT32,AT32 - 5000  M Course/Lopen,3
90,AT33,AT33 - Lancer du poids 2 Kg/Kogelstoten 2 Kg,3
91,AT34,AT34 - Mini Javelot 300g/Mini speerwerpen 300g,3
92,AT35,AT35 - Mini Javelin 400g/Mini speerwerpen 400g,3
93,AT40,AT40- Pentathlon,3
94,AT41,AT41 - Pentathlon 1 - 100 M Course/Lopen,3
95,AT42,AT42 - Pentathlon 2 - Saut en longueur/Verspringen,3
96,AT43,AT43 - Pentathlon 3 - Lancement du poids/Kogelstoten,3
97,AT44,AT44 - Pentathlon 4 - Saut en hauteur/Hoogspringen,3
98,AT45,AT45 - Pentathlon 5 - 400 M Course/Lopen,3
99,AT51,AT51 - 30 M Slalom Chaise roulante/Rolstoel,3
100,AT52,AT52 - 100 M Chaise roulante/Rolstoel,3
101,AT53,AT53 - 400 M Rolstoel/Chaise roulant,3
102,AT54,AT54 - Lancer du poids 2kg Chaise roulante/Kogelstoten 2kg Rolstoel,3
103,ATU1,ATU1 - 4X100 M Aflossing unified/Estafette unifié,3
104,ATU2,ATU2 - 1500 M Course-Marche Unifié/Unified Lopen-Wandelen  ,3
105,ATU3,ATU3- 1500 M Course Unifié/Unified Lopen,3
106,ATU4,ATU4 - 5000 M Course Unifié/Unified Lopen,3
107,ATU5,ATU5 - 4X200 M Unified Relay,3
108,BAD-BD,BD Double/Dubbel - Double Unifié/Dubbel Unified,4
109,BD,BD - Simple/Individueel,4
110,BDI, BDI - Badminton Singles,4
111,BDU,BDU - Badminton Unified Doubles,4
112,BB,BB - Basketball Team,5
113,BO,BO - Divisioning,6
114,BOC-BOU,BOU Bocce Unified Doubles,6
115,BOC-BOV,BOV Bocce Divisioning,6
116,BOD,BOD - Bocce Doubles,6
117,BOI,BOI - Bocce Singles,6
118,BWV,BWV - Bowling Simple/Single,7
119,BWW,BWW -  Bowling Chaise roulante/Rolstoelbowling,7
120,CY,CY - 1km,8
121,CY00,CY00 - 500m,8
122,CY01,CY01 - 1km,8
123,CY03,CY03 - 3km,8
124,CY05,CY05 - 5km,8
125,CY07,CY07 - 7km,8
126,CY15,CY15 - 15km,8
127,CY30,CY30 - 500m Tricycle,8
128,CY31,CY31 - 1km Tricycle,8
129,CYC-COPY,(copy of) CY-Divisioning3-15 km,8
130,CYC-DIVISI,Divisioning 500m-1Km,8
131,EQGA,EQGA - Gallop,9
132,EQGA1,EQGA1 - Galop 1,9
133,EQGA2,EQGA2 - Galop 2,9
134,EQGY,EQGY - Gymk(h)ana 1,9
135,EQSB,EQSB - Débutant au Pas/Stap voor Beginners,9
136,EQST,EQST - Pas/Stap,9
137,EQT1,EQT1 - Trot/Draf 1,9
138,EQT2,EQT2 - Trot/Draf 2,9
139,EQU-EQGA,EQGA BER - Galop BER,9
140,EQU-EQT,EQT BER - Trot/Draf BER,9
141,FL,FL - Floorball Team,10
142,FLS1,FLS1 - Dribble,10
143,FLS2,FLS2 - Penalty,10
144,FLS3,FLS3 - Shoot at Goal,10
145,FLS4,FLS4 - Pass,10
146,FLST,FLST - Floorball Skills Total,10
147,FO,FO - 7 A Side Team,11
148,FO-FINALE,Finales  FO - 7 A Side Team,11
149,FO-FINALS,FINALS FOOTBALL- 7 A Side Team,11
150,FO-FO,FO FINALS 7 A Side,11
151,FU,FU - 7 A Side Unified Team,11
152,AG,AG - Sol / Grondoefening,12
153,AG1,AG1 - Floor Exercise Compulsory,12
154,AG2,AG2 - Vault Compulsory,12
155,AG3,AG3 - Parallel Bars Compulsory,12
156,AG4,AG4 - Uneven Bars Compulsory,12
157,AG6,AG6 - Balance Beam Compulsory,12
158,AG7,AG7 - Pommel Horse Compulsory,12
159,AG8,AG8 - Horizontal Bar Compulsory,12
160,AGB,AGB - Vault Free,12
161,AGF,AGF - Balance Beam Free,12
162,AGH,AGH - Horizontal Bar Free,12
163,AGI,AGI - Floor Exercise Free,12
164,AGPA,AGPA - Level A,12
165,RG,RG - Ballon / Bal,13
166,RG0,RG0 - Ribbon Compulsory,13
167,RG1,RG1 - Ball Compulsory,13
168,RG2,RG2 - Hoop Compulsory,13
169,RG4,RG4 - Rope Compulsory,13
170,RG5,RG5 - Ribbon Free,13
171,RG6,RG6 - Ball Free,13
172,RG7,RG7 - Hoop Free,13
173,JU,JU - Judo,14
174,KAY-KY,KY 200 M Unified Double Touring Kayak,15
175,MA,MA - Motor Activities Group,16
176,NB,NB - Netball Team,17
177,SAI-SA,SA Sailing Monohull Level 3,18
178,SG,SG - Relay 1,19
179,AQ14,AQ14 - 25 M Brasse/Schoolslag,20
180,AQ15,AQ15 - 50 M Brasse/Schoolslag,20
181,AQ16,AQ16 - 100 M Brasse/Schoolslag,20
182,AQ24,AQ24 - 25 M Dos/Rugslag,20
183,AQ25,AQ25 - 50 M Dos/Rugslag,20
184,AQ34,AQ34 - 25 M Papillon/Vlinderslag,20
185,AQ55,AQ55 - 25 M Ventral/Borstligging,20
186,AQ56,AQ56 - 25 M Dorsal/Rugligging,20
187,AQ57,AQ57 - 50 M Ventral/Borstligging,20
188,AQ58,AQ58 - 50 M Dorsal/Rugligging,20
189,AQ65,AQ65 - 25 M Ventral Ass./Borstligging met Ass.,20
190,AQ66,AQ66 - 25 M Dorsal Ass./Rugligging met Ass.,20
191,AQ67,AQ67 - 50 M Ventral Ass./Borstligging met Ass.,20
192,AQ68,AQ68 - 50 M Dorsal Ass./Rugligging met Ass.,20
193,AQ75,AQ75 - 25 M Ventral Supp./Borstligging met Hulp,20
194,AQ76,AQ76 - 25 M Dorsal Supp./Rugligging met Hulp,20
195,AQ77,AQ77 - 50 M Ventral Supp./Borstligging met Hulp,20
196,AQ78,AQ78 - 50 M Dorsal Supp./Rugligging met Hulp,20
197,AQ91,AQ91 - 25 M Nage Libre/Vrije Slag,20
198,AQ92,AQ92 - 50 M Nage Libre/Vrije Slag,20
199,AQ93,AQ93 - 100 M Nage Libre/Vrije Slag,20
200,AQ95,AQ95 - 4X25 M Nage Libre/Vrije Slag,20
201,AQ97,AQ97 - 200 M Nage Libre/Vrije Slag,20
202,TT,TT - Simple/Individueel,21
203,TTI,TTI - Table Tennis Singles,21
204,TE,TE - Simple/Individueel,22
205,TEI,TEI - Tennis Singles,22
206,TR,TR - 10km Cyclisme/Fietsen,23
207,TR30,TR30 - Three Day Event,23
208,TR31,TR31 - 250m Swimming,23
209,TR32,TR32 - 10km Cycling,23
210,TR33,TR33 - 3km Run,23
