geography_key,club_id,club_name,province,city,country,primary_language,zipcode
-1,-1,Unknown,,,,,
1,100,LA PILERIE,Hainaut,Momignies,Belgium,French,6590
2,101,BAM,Luxembourg,Bastogne,Belgium,French,6600
3,102,LES DAHUTS - ANDAGE ,Luxembourg,Saint-Hubert,Belgium,French,6870
4,103,LES TUNIQUES BLEUES,Brabant Wallon,Nivelles,Belgium,French,1400
5,104,EVASION,Hainaut,Houdeng Goegnies,Belgium,French,7110
6,105,LES AUBEPINES,Liège,Cerexhe-Heuseux,Belgium,French,4632
7,107,S.J.N. CLUB,Brussel/Bruxelles,Bruxelles,Belgium,French,1030
8,109,LES CARACOLES,Namur,Namur,Belgium,French,5000
9,110,LES QUILLES LIBRES,Luxembourg,Arlon,Belgium,French,6700
10,111,LA CLAIRIÈRE,Brussel/Bruxelles,Bruxelles,Belgium,French,1170
11,112,RJCV SPORT,Namur,Malonne,Belgium,French,5020
12,113,CLERLANDE SPORT,Brabant Wallon,Ottignies,Belgium,French,1340
13,115,LES OURSONS,Namur,Bonneville,Belgium,French,5300
14,116,LES COPAINS,Brussel/Bruxelles,Bruxelles,Belgium,French,1083
15,118,LES GRINGOS,Namur,Sugny,Belgium,French,5550
16,119,METHYS,Liège,Liege,Belgium,French,4000
17,120,L'EFFORT,Liège,Liege,Belgium,French,4000
18,121,L'ENVOL,Hainaut,Mouscron,Belgium,French,7700
19,122,LA FORESTIERE,Brussel/Bruxelles,Bruxelles,Belgium,French,1050
20,123,LA CLARINE,Hainaut,Fayt-Lez-Manage,Belgium,French,7170
21,124,JENNEVAUX RENCONTRE,Namur,Lesve,Belgium,French,5170
22,125,LES KOLOUTES,Brabant Wallon,Grez-Doiceau,Belgium,French,1390
23,126,SPORT DE L'AMITIE,Brabant Wallon,Mont-Saint-Guibert,Belgium,French,1435
24,127,PÉRUWELZ RAINBOW SPORTS,Hainaut,Tournai,Belgium,French,7520
25,128,LES HAUTES ARDENNES,Luxembourg,Vielsalm,Belgium,French,6690
26,129,C.S. DE HEMPTINNE,Brabant Wallon,Jauche,Belgium,French,1350
27,131,LES ACACIAS,Brabant Wallon,Nivelles,Belgium,French,1400
28,132,LA CORDEE SPORTS,Namur,Bouge,Belgium,French,5004
