athlete_key,geography_key,time_key,events_entered,sports_entered
1,174,2022,1,1
1,174,2023,1,1
1,174,2024,1,1
1,174,2025,1,1
3,174,2023,1,1
3,174,2024,1,1
3,174,2025,1,1
4,174,2024,1,1
4,174,2025,1,1
5,174,2023,1,1
5,174,2024,2,1
5,174,2025,1,1
6,174,2023,1,1
6,174,2024,1,1
6,174,2025,1,1
7,174,2022,1,1
7,174,2023,1,1
7,174,2024,1,1
7,174,2025,1,1
8,146,2017,1,1
8,146,2018,1,1
8,146,2019,1,1
8,146,2022,1,1
8,146,2023,1,1
8,174,2024,1,1
8,174,2025,1,1
9,174,2022,1,1
9,174,2025,1,1
10,174,2022,1,1
10,174,2023,1,1
10,174,2024,1,1
10,174,2025,1,1
11,174,2023,1,1
11,174,2024,1,1
11,174,2025,1,1
12,174,2023,1,1
12,174,2024,1,1
12,174,2025,1,1
13,174,2024,2,1
13,174,2025,2,1
17,380,2019,1,1
17,380,2023,1,1
17,380,2024,1,1
20,380,2023,1,1
24,380,2023,1,1
24,380,2024,1,1
24,380,2025,1,1
28,380,2019,1,1
28,380,2023,1,1
28,380,2024,1,1
28,380,2025,1,1
29,380,2019,1,1
29,380,2024,1,1
30,380,2024,1,1
31,380,2019,1,1
31,380,2024,1,1
32,380,2023,1,1
33,419,2024,3,1
34,419,2024,1,1
34,419,2025,1,1
41,419,2025,3,1
42,419,2025,3,1
44,419,2025,1,1
69,-1,2022,3,1
69,239,2023,3,1
69,239,2024,3,1
69,239,2025,3,1
82,419,2024,3,1
82,419,2025,3,1
93,149,2023,1,1
93,149,2024,1,1
102,123,2016,1,1
102,123,2017,3,1
105,149,2023,1,1
105,149,2024,1,1
105,149,2025,1,1
108,149,2024,1,1
108,149,2025,1,1
110,149,2019,1,1
110,149,2023,1,1
110,149,2024,1,1
110,149,2025,1,1
115,149,2024,2,1
115,149,2025,1,1
116,149,2022,1,1
118,149,2017,1,1
118,149,2018,1,1
124,149,2025,1,1
126,149,2018,1,1
126,149,2019,1,1
126,149,2022,1,1
126,149,2023,1,1
126,149,2024,1,1
126,149,2025,1,1
128,149,2018,1,1
128,149,2019,1,1
128,149,2022,1,1
128,149,2023,1,1
128,149,2024,1,1
128,149,2025,1,1
130,149,2019,1,1
130,149,2022,1,1
130,149,2023,1,1
130,149,2024,1,1
130,149,2025,1,1
140,149,2024,1,1
140,149,2025,1,1
151,149,2017,1,1
151,149,2018,1,1
151,149,2019,1,1
154,149,2023,1,1
154,149,2024,1,1
154,149,2025,1,1
156,149,2017,1,1
156,149,2018,1,1
156,149,2019,1,1
156,149,2022,1,1
156,149,2023,1,1
156,149,2024,1,1
156,149,2025,1,1
157,-1,2018,1,1
157,-1,2019,1,1
160,123,2016,3,1
160,123,2017,3,1
160,123,2018,3,1
160,123,2019,3,1
160,123,2022,3,1
161,149,2022,1,1
163,149,2018,1,1
163,149,2019,1,1
163,149,2024,1,1
163,149,2025,1,1
166,85,2023,1,1
166,85,2024,1,1
166,85,2025,1,1
168,85,2023,1,1
168,85,2024,1,1
168,85,2025,1,1
172,85,2017,1,1
172,85,2018,1,1
172,85,2019,1,1
172,85,2022,1,1
172,85,2023,1,1
172,85,2024,1,1
172,85,2025,1,1
173,85,2015,1,1
173,85,2016,1,1
173,85,2017,1,1
173,85,2018,1,1
173,85,2019,1,1
173,85,2022,1,1
173,85,2023,1,1
173,85,2024,1,1
173,85,2025,1,1
176,85,2023,1,1
176,85,2024,1,1
176,85,2025,1,1
178,85,2025,1,1
179,85,2018,1,1
179,85,2019,1,1
179,85,2022,1,1
179,85,2023,1,1
179,85,2024,1,1
179,85,2025,1,1
183,85,2016,1,1
183,85,2017,1,1
183,85,2018,1,1
183,85,2019,1,1
183,85,2022,1,1
183,85,2023,1,1
183,85,2024,1,1
183,85,2025,1,1
190,85,2024,1,1
190,85,2025,1,1
192,85,2015,1,1
192,85,2016,1,1
192,85,2017,1,1
192,85,2018,1,1
192,85,2019,1,1
192,85,2022,1,1
192,85,2023,1,1
192,85,2024,1,1
192,85,2025,1,1
197,52,2022,1,1
197,52,2023,1,1
197,52,2024,1,1
198,52,2015,1,1
198,52,2016,1,1
198,52,2017,1,1
201,52,2015,1,1
201,52,2016,1,1
201,52,2017,1,1
201,52,2018,1,1
201,52,2019,1,1
201,52,2022,1,1
201,52,2023,1,1
201,52,2024,1,1
202,52,2015,1,1
202,52,2016,1,1
202,52,2017,1,1
203,52,2017,2,1
203,52,2018,2,1
203,52,2019,2,1
203,52,2022,2,1
203,52,2023,2,1
203,52,2024,2,1
203,52,2025,2,1
205,52,2015,1,1
205,52,2016,1,1
205,52,2017,1,1
207,52,2015,1,1
207,52,2016,1,1
207,52,2017,1,1
207,52,2018,1,1
207,52,2019,1,1
207,52,2022,1,1
207,52,2023,1,1
207,52,2024,1,1
213,52,2015,1,1
213,52,2016,1,1
213,52,2017,1,1
214,52,2015,2,1
214,52,2016,2,1
214,52,2017,2,1
214,52,2018,2,1
214,52,2019,2,1
216,52,2016,1,1
216,52,2017,1,1
216,52,2018,1,1
216,52,2019,1,1
216,52,2023,1,1
216,52,2024,1,1
216,52,2025,1,1
217,-1,2015,3,1
217,-1,2016,3,1
217,-1,2017,3,1
217,-1,2018,3,1
217,-1,2019,3,1
217,-1,2022,3,1
217,239,2023,3,1
217,239,2024,3,1
217,239,2025,3,1
218,-1,2015,3,1
218,-1,2016,3,1
218,-1,2017,3,1
218,-1,2018,3,1
218,-1,2019,3,1
218,-1,2022,3,1
218,239,2023,3,1
218,239,2024,3,1
219,-1,2015,3,1
219,-1,2016,3,1
219,-1,2017,4,1
219,-1,2018,3,1
219,-1,2019,3,1
219,-1,2022,3,1
219,239,2023,3,1
219,239,2024,3,1
219,239,2025,3,1
220,239,2025,3,1
221,-1,2015,3,1
221,-1,2016,3,1
221,-1,2017,4,1
221,-1,2018,3,1
221,-1,2019,3,1
221,-1,2022,3,1
221,239,2023,3,1
221,239,2024,3,1
221,239,2025,3,1
224,-1,2016,3,1
224,-1,2017,3,1
224,-1,2018,3,1
224,-1,2019,3,1
224,-1,2022,3,1
224,239,2023,3,1
224,239,2024,3,1
224,239,2025,3,1
225,-1,2015,3,1
225,-1,2016,3,1
225,-1,2017,3,1
225,-1,2018,3,1
225,-1,2019,3,1
225,-1,2022,3,1
225,239,2023,3,1
225,239,2024,3,1
225,239,2025,3,1
226,-1,2017,3,1
226,-1,2018,3,1
226,-1,2019,3,1
226,-1,2022,3,1
226,239,2023,3,1
226,239,2024,3,1
226,239,2025,3,1
227,239,2024,3,1
227,239,2025,3,1
228,239,2024,3,1
229,-1,2015,3,1
229,-1,2016,3,1
229,-1,2017,3,1
229,-1,2018,3,1
229,-1,2019,3,1
229,-1,2022,3,1
229,239,2023,3,1
230,-1,2015,3,1
230,-1,2016,3,1
230,-1,2017,3,1
230,-1,2018,3,1
230,-1,2019,3,1
230,-1,2022,3,1
230,239,2023,3,1
230,239,2024,3,1
230,239,2025,3,1
231,-1,2022,3,1
231,239,2023,3,1
231,239,2024,3,1
231,239,2025,3,1
232,216,2015,6,1
232,216,2016,1,1
232,216,2017,1,1
232,216,2018,1,1
232,216,2019,1,1
233,-1,2017,3,1
233,-1,2018,3,1
233,-1,2019,3,1
233,-1,2022,3,1
233,239,2023,3,1
233,239,2024,3,1
233,239,2025,3,1
234,-1,2016,3,1
234,-1,2017,3,1
234,-1,2018,3,1
234,-1,2019,3,1
234,-1,2022,3,1
234,239,2023,3,1
234,239,2024,3,1
234,239,2025,3,1
238,-1,2015,3,1
238,-1,2016,3,1
238,-1,2017,3,1
238,-1,2018,3,1
238,-1,2019,3,1
238,-1,2022,3,1
238,239,2023,3,1
238,239,2024,3,1
238,239,2025,3,1
239,-1,2015,3,1
239,-1,2016,3,1
239,-1,2017,3,1
240,-1,2017,4,1
240,-1,2018,3,1
240,-1,2019,3,1
240,-1,2022,3,1
240,239,2023,4,1
240,239,2024,3,1
240,239,2025,3,1
242,239,2024,3,1
242,239,2025,3,1
243,-1,2015,3,1
243,-1,2016,3,1
243,-1,2017,3,1
243,-1,2018,3,1
243,-1,2019,3,1
243,-1,2022,3,1
243,239,2023,3,1
243,239,2024,3,1
243,239,2025,3,1
244,-1,2015,3,1
244,-1,2016,3,1
244,-1,2017,3,1
244,-1,2018,3,1
244,-1,2019,3,1
244,-1,2022,3,1
244,239,2023,3,1
244,239,2024,3,1
244,239,2025,3,1
247,-1,2015,3,1
247,-1,2016,3,1
247,-1,2017,3,1
247,-1,2018,3,1
247,-1,2019,3,1
247,-1,2022,3,1
247,239,2023,3,1
247,239,2024,3,1
247,239,2025,3,1
248,-1,2015,3,1
248,-1,2016,3,1
248,-1,2017,3,1
248,-1,2018,3,1
248,-1,2019,3,1
248,-1,2022,3,1
248,239,2023,3,1
248,239,2024,3,1
248,239,2025,3,1
250,-1,2015,3,1
250,-1,2016,3,1
250,-1,2017,3,1
250,-1,2018,3,1
250,-1,2019,3,1
250,-1,2022,3,1
250,239,2023,3,1
250,239,2024,3,1
252,-1,2022,3,1
252,239,2023,3,1
252,239,2024,3,1
252,239,2025,3,1
253,-1,2015,3,1
253,-1,2016,3,1
253,-1,2017,4,1
253,-1,2018,3,1
253,-1,2019,3,1
253,-1,2022,3,1
253,239,2023,3,1
253,239,2024,3,1
253,239,2025,3,1
255,-1,2015,3,1
255,-1,2016,3,1
255,-1,2017,3,1
255,-1,2018,3,1
255,-1,2019,3,1
255,-1,2022,3,1
255,239,2023,3,1
255,239,2024,3,1
255,239,2025,3,1
258,-1,2022,3,1
258,239,2023,3,1
